Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
expressdep.yaml,tiny,DaemonSet,21,423,186,1,26,8,8,True,97258.15,127.86,[],[],
pod.kiada-ssl.projected-volume.yaml,tiny,Pod,22,481,187,18,49,13,13,True,178067.32,200.08,[],[],
test658_1.yaml,tiny,Deployment,22,422,178,1,26,8,8,True,97375.42,120.8,[],[],
pod-for-pv3.yaml,tiny,Pod,18,481,187,1,49,13,13,True,178043.1,188.42,[],[],
resource304_12.yaml,tiny,Deployment,21,422,203,1,26,9,9,True,96925.34,131.5,[],[],
pricing.yaml,tiny,Deployment,37,422,178,4,26,8,8,True,97511.27,116.89,[],[],
lgtm1_22.yaml,tiny,Service,21,13,2,10,6,1,1,True,27932.47,39.54,[],[],
deploy-nginx23_1.yaml,tiny,PersistentVolumeClaim,15,7,3,1,2,1,1,True,13427.27,33.26,[],[],
clickhouse-deployment1.yaml,tiny,Deployment,36,422,178,216,26,8,8,True,97582.24,122.9,[],[],
restrictedvolumes2400.yaml,tiny,Pod,21,481,187,1,49,13,13,True,178576.46,183.26,[],[],
base656.yaml,tiny,Pod,11,481,187,1,49,13,13,True,178219.01,187.03,[],[],
desafio-day-3.yaml,tiny,Deployment,30,422,176,8,26,7,7,True,97656.93,122.48,[],[],
pod-nginx-1-with-wrong-nginx-image.yaml,tiny,Pod,17,481,187,1,49,13,13,True,178290.93,179.8,[],[],
seccompprofile_baseline0536.yaml,tiny,Pod,19,481,187,1,49,13,13,True,177972.3,196.52,[],[],
pod-bad25_1.yaml,tiny,Pod,11,481,187,2,49,13,13,True,178174.96,192.3,[],[],
cluster_ip2.yaml,tiny,Service,15,13,2,1,6,1,1,True,27972.78,40.47,[],[],
pod4100.yaml,tiny,Pod,10,481,187,1,49,13,13,True,178141.92,199.05,[],[],
selinuxoptions0299.yaml,tiny,Pod,17,481,187,1,49,13,13,True,178374.92,184.76,[],[],
podcontroller-bad285_22.yaml,tiny,CronJob,38,420,108,1,25,5,5,True,94751.81,111.95,[],[],
csi-mock-rbac5_5.yaml,tiny,ClusterRoleBinding,13,12,0,1,4,0,0,True,7011.99,28.36,[],[],
grafana-deployment2.yaml,small,Deployment,44,422,178,729,26,8,8,True,97255.2,123.05,[],[],
rbac.authorization.k8s.io_v1_clusterrolebinding_kubesync-proxy-rolebinding.yaml,tiny,ClusterRoleBinding,16,12,0,6,4,0,0,True,7280.34,30.07,[],[],
metrics-server53_5.yaml,tiny,ClusterRoleBinding,16,12,0,1,4,0,0,True,7047.68,30.03,[],[],
users-service42.yaml,tiny,Service,16,13,4,1,6,2,2,True,27530.69,45.52,[],[],
deployment4030.yaml,tiny,Deployment,32,422,176,36,26,7,7,True,97583.47,110.5,[],[],
bookinfo-details-v25.yaml,tiny,Deployment,29,422,178,8,26,8,8,True,97464.56,125.17,[],[],
catalogue-service1.yaml,tiny,Service,16,13,2,1,6,1,1,True,27972.26,47.58,[],[],
hostports0173.yaml,tiny,Pod,17,481,187,1,49,13,13,True,178308.14,190.08,[],[],
restrictedvolumes5330.yaml,tiny,Pod,18,481,187,1,49,13,13,True,178332.41,182.15,[],[],
deployment6557.yaml,tiny,Deployment,29,422,178,9,26,8,8,True,97248.25,119.86,[],[],
hostpathvolumes0760.yaml,tiny,Pod,13,481,187,2,49,13,13,True,178220.59,182.22,[],[],
seccompprofile_restricted411.yaml,tiny,Pod,23,481,187,1,49,13,13,True,178193.87,185.88,[],[],
platforms-depl_1.yaml,tiny,Service,17,13,2,2,6,1,1,True,27944.95,44.24,[],[],
base795.yaml,tiny,Pod,17,481,187,1,49,13,13,True,178220.51,180.79,[],[],
selinuxoptions2358.yaml,tiny,Pod,14,481,187,1,49,13,13,True,178327.04,182.97,[],[],
meu-primeiro-deployment.yaml,tiny,Deployment,24,422,176,1,26,7,7,True,97770.77,111.85,[],[],
seccompprofile_baseline0418.yaml,tiny,Pod,14,481,187,1,49,13,13,True,178065.58,184.79,[],[],
02-nginx-deploy-main2.yaml,tiny,Deployment,40,422,178,3,26,8,8,True,97595.74,119.99,[],[],
pod-good202_2.yaml,tiny,Pod,14,481,187,2,49,13,13,True,177961.11,183.92,[],[],
jobs-4.yaml,tiny,Job,19,420,176,1,25,7,7,True,94267.15,182.41,[],[],
backend1_1.yaml,tiny,Service,16,13,4,1,6,2,2,True,27685.49,44.27,[],[],
workloads12_4.yaml,tiny,Deployment,25,422,178,1,26,8,8,True,97263.22,120.16,[],[],
karmada-scheduler.yaml,tiny,Deployment,50,422,176,6,26,7,7,True,97651.16,133.88,[],[],
restrictedvolumes11259.yaml,tiny,Pod,18,481,187,1,49,13,13,True,177919.93,186.37,[],[],
hostpathvolumes0713.yaml,tiny,Pod,22,481,187,2,49,13,13,True,178173.58,179.73,[],[],
controller59_4.yaml,tiny,Service,18,13,2,1,6,1,1,True,27964.31,38.81,[],[],
seccompprofile_baseline1430.yaml,tiny,Pod,23,481,187,1,49,13,13,True,178102.15,184.0,[],[],
productcatalogue-service80.yaml,tiny,Service,18,13,4,1,6,2,2,True,27513.78,45.81,[],[],
wordpress-service17.yaml,tiny,Service,14,13,4,1,6,2,2,True,27745.28,48.71,[],[],
resource772_9.yaml,tiny,Pod,15,481,187,2,49,13,13,True,178150.18,185.66,[],[],
selinuxoptions0184.yaml,tiny,Pod,19,481,187,1,49,13,13,True,177899.96,184.37,[],[],
01-helloworld4.yaml,tiny,Deployment,25,422,178,1,26,8,8,True,97258.67,123.94,[],[],
privileged1174.yaml,tiny,Pod,13,481,213,1,49,15,15,True,177357.83,195.9,[],[],
