Archivo;ID_Trivy;Resultado;Razon
etcd_auto_tls.rego;KCV-0044;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_cert_file_and_key_file.rego;KCV-0042;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_client_cert_auth.rego;KCV-0043;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_data_directory_ownership.rego;KCV-0059;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
etcd_data_directory_permission.rego;KCV-0058;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
etcd_peer_auto_tls.rego;KCV-0047;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_peer_cert_file_and_key_file.rego;KCV-0045;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_peer_client_cert_auth.rego;KCV-0046;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
etcd_pod_spec_ownership.rego;KCV-0055;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
etcd_pod_spec_permission.rego;KCV-0054;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
file_system_not_read_only.rego;KSV-0014;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
get_shell_on_pod.rego;KSV-0053;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
hostpath_volumes_mounted.rego;KSV-0023;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
host_ipc.rego;KSV-0008;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
host_network.rego;KSV-0009;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
host_pid.rego;KSV-0010;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
impersonate_privileged_groups.rego;KSV-0043;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
insecure_ingress_nginx.rego;KCV-0093;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
kubelet_anonymous_auth_argument.rego;KCV-0079;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_authorization_mode_argument.rego;KCV-0080;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_certificate_authorities_file_ownership.rego;KCV-0076;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_certificate_authorities_file_permission.rego;KCV-0075;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_client_ca_file_argument.rego;KCV-0081;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_config_file_ownership.rego;KCV-0074;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_config_file_permission.rego;KCV-0073;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_config_yaml_ownership.rego;KCV-0078;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_config_yaml_permission.rego;KCV-0077;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_event_qps.rego;KCV-0087;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_hostname_override.rego;KCV-0086;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_kublet_service_file_ownership.rego;KCV-0070;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_kublet_service_file_permission.rego;KCV-0069;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_make_iptables_util_chains.rego;KCV-0084;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_only_use_strong_cryptographic.rego;KCV-0092;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_protect_kernel_defaults.rego;KCV-0083;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_proxy_kube_config_file_ownership.rego;KCV-0072;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_proxy_kube_config_file_permission.rego;KCV-0071;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_read_only_port_argument.rego;KCV-0082;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_rotate_certificates.rego;KCV-0090;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_rotate_kubelet_server_certificate.rego;KCV-0091;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_streaming_connection_argument.rego;KCV-0085;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_tls_cert_file.rego;KCV-0088;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
kubelet_tls_key_file.rego;KCV-0089;DESCARTADA;Kinds no soportados por el CSV: ['nodeinfo']
Kubernetes_resource_with_disallowed_volumes_mounted.rego;KSV-0121;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
manages_etc_hosts.rego;KSV-0007;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
manage_all_resources.rego;KSV-0046;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_all_resources_at_namespace.rego;KSV-0112;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_configmaps.rego;KSV-0049;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_eks_iam_auth_configmap.rego;KSV-0115;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_kubernetes_networking.rego;KSV-0056;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_kubernetes_rbac_resources.rego;KSV-0050;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_namespace_secrets.rego;KSV-0113;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_secrets.rego;KSV-0041;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
manage_webhook_configurations.rego;KSV-0114;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (input\.rules\[)
masters_group_bind.rego;KSV-0123;ACEPTADA;Semántica OK. Kinds Soportados: ['rolebinding', 'clusterrolebinding']
memory_not_limited.rego;KSV-0018;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
memory_requests_not_specified.rego;KSV-0016;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
mounts_docker_socket.rego;KSV-0006;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
net_raw_capability.rego;KSV-0119;DESCARTADA;Contiene lógica dinámica/compleja no mapeable a UVL (\[_\] ==)
non_core_volume_types.rego;KSV-0028;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
non_default_proc_masks_set.rego;KSV-0027;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
outdated_api.rego;KSV-0107;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
privileged.rego;KSV-0017;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
privileged_ports_binding.rego;KSV-0117;ACEPTADA;Semántica OK. Kinds Soportados: ['pod', 'replicaset', 'replicationcontroller', 'deployment', 'statefulset', 'daemonset', 'cronjob', 'job']
privilege_escalation_from_node_proxy.rego;KSV-0047;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
protecting_pod_service_account_tokens.rego;KSV-0036;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
protect_core_components_namespace.rego;KSV-0037;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
repo_ambiguous_prefix.rego;KSV-0124;DESCARTADA;Sin Kinds definidos explícitamente en subtypes
